EarthRef.org -- GERM Reservoir Database
Database development and maintenance by the PACER Team

DATA:
Reservoir	Z	Element	Value	Median	SD	Low	High	N	Unit	Reference	Computation	Notes	Inserted
Silicate Earth	28	Ni	.27						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	28	Ni	1960		196				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	28	Ni	.26						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	28	Ni	.25						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Silicate Earth	28	Ni	.25						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Silicate Earth		Ni/Co	18.7							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Silicate Earth		Ni/P	22							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Silicate Earth	76	Os	3.4		1.02				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	15	P	90		13.5				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	15	P	.021						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Silicate Earth	82	Pb	150		30				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	46	Pd	3.9		3.12				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	59	Pr	254		25.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	78	Pt	7.1		2.13				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	37	Rb	.6		.18				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	75	Re	.28		.084				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	45	Rh	.9		.36				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	44	Ru	5		1.5				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	16	S	250		50				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	51	Sb	5.5		2.75				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	21	Sc	16.2		1.62				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	34	Se	.075		.0525				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	14	Si	49.9						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Silicate Earth	14	Si	45.16						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	14	Si	45						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Silicate Earth	14	Si	21		2.1				wt%	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	14	Si	45						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	62	Sm	406		40.6				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	50	Sn	130		39				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	38	Sr	19.9		1.99				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	73	Ta	37		5.6				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	65	Tb	99		9.9				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	52	Te	12						ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	90	Th	79.5		11.9				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	22	Ti	.16						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Silicate Earth	22	Ti	.17						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	22	Ti	.217						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	22	Ti	.201						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Silicate Earth	22	Ti	1205		120.5				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	81	Tl	3.5		1.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	69	Tm	68		6.8				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	92	U	20.3		4.1				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	23	V	82		12.3				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	74	W	29						ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	39	Y	4.3		.43				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	70	Yb	441		44.1				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	30	Zn	55		8.25				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	40	Zr	10.5		1.05				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Solid Earth	13	Al	1.59						wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5. Al is not considered a light element and thus does not reside in the Earth's core.	23-FEB-1999
Solid Earth	20	Ca	1.71						wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5. Ca is not considered a light element and thus does not reside in the Earth's core.	23-FEB-1999
Solid Earth	27	Co				.085	.0915		wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth	24	Cr				.44	.49		wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth		Cr/Mn				2	2			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth		Cr/V				46	52			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth	26	Fe				29.6	32.7		wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth		Fe/Al				18.6	20.6			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth		Fe/Cr				68	67			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth		Fe/Ni				17.1	17.3			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth	12	Mg	15.4						wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5. Mg is not considered a light element and thus does not reside in the Earth's core.	23-FEB-1999
Solid Earth		Mg/Al				9.7	9.7			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth		Mg/Si	.97							McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5. This estimate assumes 5% Si in the Earth's core (O'Neill, 1991) whereas Mg does not reside in the Earth's core.	23-FEB-1999
Solid Earth	25	Mn				.22	.24		wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth	11	Na				1800	1800		ppm	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth	28	Ni				1.72	1.89		wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth		Ni/Co				20.7	20.6			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth		Ni/P				10	11			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth	15	P				.17	.17		wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Solid Earth	14	Si	14.2						wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5. This estimate assumes no Si in the Earth's core.	23-FEB-1999
Solid Earth	14	Si	15.8						wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5. This estimate assumes 5% Si in the Earth's core (O'Neill, 1991).	23-FEB-1999
Solid Earth	23	V				95	95		ppm	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999

LINKS TO REFERENCES:
McDonough & Sun 1995 - https://earthref.org/cgi-bin/err.cgi?n=3

ACKNOWLEDGEMENTS:
Sponsored by NSF - EAR 0000998
Supported by the San Diego SuperComputer Center -- http://www.sdsc.edu

DATABASE STATISTICS:
EarthRef.org Database Version: 
Search Time: 02 July 2024 05:10:13 AM

LINKS TO EARTHREF.ORG:
Original search form - https://earthref.org/cgi-bin/germrd-s0-main.cgi
Search results - http://earthref.org/cgi-bin/germrd-s1-advanced.cgi?database_name=germrd&search_start=main&er_citation_id=3&sort=name_long&unit_id=Units%20...

SEARCH VALUES:
Reference: McDonough & Sun 1995
Sort by: Reservoir

</body></html>
